Attack,Byz κ (mean),Ben κ (mean),κ gap,Byz shift (mean),Ben shift (mean),Byz grad dist,Ben grad dist,Grad dist gap,Kappa-only det (%)
grad-p,0.024,0.246,0.222,0.405,0.266,3716.106,7.796,3708.31,5.0
spf,0.475,0.369,-0.106,0.243,0.25,9.165,7.681,1.484,2.5
lfp,0.3,0.357,0.057,0.216,0.252,9.712,7.612,2.101,0.0
ooa,0.4,0.379,-0.021,0.253,0.25,7.565,7.346,0.219,0.0
