α,Accuracy (%),Acc_std,F1 (%),F1_std
0.5,98.2,0.4,20.1,25.0
0.6,98.2,0.4,20.1,25.0
0.7,98.2,0.4,20.1,25.0
0.8,98.2,0.4,20.1,25.0
0.9,98.2,0.4,20.1,25.0
