τ,Accuracy (%),Acc_std,F1 (%),F1_std
1.0,98.3,0.4,1.3,2.6
1.5,98.2,0.3,11.4,18.6
2.0,98.2,0.4,20.1,25.0
2.5,97.6,1.1,28.1,23.7
3.0,92.2,8.2,16.8,17.4
