Method,grad-p,grad-p_f1,spf,spf_f1,lfp,lfp_f1,ooa,ooa_f1,No Attack
FedAvg,98.4,40.7,97.9,0.0,98.0,9.1,98.1,17.4,83.8
Multi-Krum,98.4,38.5,97.9,0.0,98.7,58.1,97.9,0.0,83.8
TrimmedMean,97.9,0.0,98.0,4.7,98.4,38.5,97.9,0.0,83.8
Bulyan,98.0,9.1,97.9,0.0,98.5,55.9,97.9,0.0,83.8
RFVIR,97.9,0.0,97.9,0.0,97.9,0.0,97.9,0.0,83.8
FLAME,98.6,54.8,98.7,57.1,97.9,0.0,98.9,67.7,83.8
Ours,68.0,11.6,98.1,66.7,97.7,60.3,97.2,55.6,83.8
