method,final_acc,round@90%,round@85%,auc
FedAvg,96.2,3,3,92.4
TrimmedMean,96.3,3,3,92.5
RFVIR,96.0,3,3,91.9
Multi-Krum,95.9,3,2,93.1
Bulyan,95.2,2,2,92.2
FLAME,96.8,3,3,92.1
Ours,95.6,3,3,91.9
