attack,churn,seed,round,acc,f1
grad-p,0.1,42,1,21.95,24.77
grad-p,0.1,42,2,21.4,24.64
grad-p,0.1,42,3,46.1,32.12
grad-p,0.1,42,4,32.7,27.56
grad-p,0.1,42,5,40.95,30.32
grad-p,0.1,42,6,45.6,32.0
grad-p,0.1,42,7,61.25,39.59
grad-p,0.1,42,8,63.75,40.03
grad-p,0.1,42,9,73.75,46.7
grad-p,0.1,42,10,84.45,54.73
grad-p,0.1,42,11,84.1,55.08
grad-p,0.1,42,12,86.85,58.97
grad-p,0.1,42,13,88.6,60.96
grad-p,0.1,42,14,89.65,63.62
grad-p,0.1,42,15,91.95,66.8
grad-p,0.1,42,16,92.55,65.75
grad-p,0.1,42,17,92.55,65.59
grad-p,0.1,42,18,92.75,65.56
grad-p,0.1,42,19,92.85,66.35
grad-p,0.1,42,20,93.3,69.55
grad-p,0.1,42,21,91.25,51.79
grad-p,0.1,42,22,91.1,49.72
grad-p,0.1,42,23,90.65,43.84
grad-p,0.1,42,24,89.85,35.14
grad-p,0.1,42,25,89.8,34.19
grad-p,0.1,42,26,88.8,22.76
grad-p,0.1,42,27,89.1,26.35
grad-p,0.1,42,28,90.1,37.34
grad-p,0.1,42,29,90.25,38.87
grad-p,0.1,42,30,90.75,43.77
grad-p,0.1,42,31,91.25,48.38
grad-p,0.1,42,32,91.4,49.71
grad-p,0.1,42,33,91.3,48.82
grad-p,0.1,42,34,91.45,50.15
grad-p,0.1,42,35,92.6,59.56
grad-p,0.1,42,36,92.5,59.46
grad-p,0.1,42,37,92.45,59.08
grad-p,0.1,42,38,93.35,66.16
grad-p,0.1,42,39,91.25,48.38
grad-p,0.1,42,40,91.4,49.71
grad-p,0.1,42,41,91.45,50.15
grad-p,0.1,42,42,90.8,44.24
grad-p,0.1,42,43,90.45,40.87
grad-p,0.1,42,44,90.5,41.36
grad-p,0.1,42,45,90.65,42.81
grad-p,0.1,42,46,90.75,43.77
grad-p,0.1,42,47,90.15,37.85
grad-p,0.1,42,48,90.5,41.36
grad-p,0.1,42,49,90.55,41.85
grad-p,0.1,43,0,47.5,32.78
grad-p,0.1,43,1,39.15,29.61
grad-p,0.1,43,2,51.5,34.55
grad-p,0.1,43,3,61.95,39.56
grad-p,0.1,43,4,82.1,42.26
grad-p,0.1,43,5,84.15,46.0
grad-p,0.1,43,6,87.75,53.69
grad-p,0.1,43,7,88.7,55.51
grad-p,0.1,43,8,89.35,55.35
grad-p,0.1,43,9,89.95,56.4
grad-p,0.1,43,10,90.15,56.32
grad-p,0.1,43,11,91.2,57.49
grad-p,0.1,43,12,91.3,57.35
grad-p,0.1,43,13,91.7,58.91
grad-p,0.1,43,14,91.7,57.65
grad-p,0.1,43,15,91.8,58.16
grad-p,0.1,43,16,91.05,55.58
grad-p,0.1,43,17,89.3,30.97
grad-p,0.1,43,18,89.8,36.65
grad-p,0.1,43,19,89.55,33.65
grad-p,0.1,43,20,89.8,36.25
grad-p,0.1,43,21,90.45,42.99
grad-p,0.1,43,22,90.6,44.05
grad-p,0.1,43,23,90.85,46.02
grad-p,0.1,43,24,91.2,49.13
grad-p,0.1,43,25,89.85,35.56
grad-p,0.1,43,26,89.45,31.27
grad-p,0.1,43,27,89.7,33.97
grad-p,0.1,43,28,90.15,38.63
grad-p,0.1,43,29,90.35,40.62
grad-p,0.1,43,30,90.65,43.5
grad-p,0.1,43,31,91.65,52.15
grad-p,0.1,43,32,91.95,54.65
grad-p,0.1,43,33,92.1,56.11
grad-p,0.1,43,34,92.85,62.47
grad-p,0.1,43,35,92.85,62.47
grad-p,0.1,43,36,92.8,61.9
grad-p,0.1,43,37,92.9,64.68
grad-p,0.1,43,38,92.9,63.59
grad-p,0.1,43,39,92.75,63.1
grad-p,0.1,43,40,92.75,63.66
grad-p,0.1,43,41,92.6,62.63
grad-p,0.1,43,42,92.75,63.1
grad-p,0.1,43,43,92.95,64.66
grad-p,0.1,43,44,93.1,65.5
grad-p,0.1,43,45,93.2,64.58
grad-p,0.1,43,46,93.35,65.63
grad-p,0.1,43,47,92.8,61.7
grad-p,0.1,43,48,92.9,62.23
grad-p,0.1,43,49,92.65,60.38
grad-p,0.1,44,0,49.6,30.19
grad-p,0.1,44,1,73.6,25.21
grad-p,0.1,44,2,47.4,32.56
grad-p,0.1,44,3,47.25,32.42
grad-p,0.1,44,4,64.65,36.48
grad-p,0.1,44,5,79.0,45.45
grad-p,0.1,44,6,80.3,40.48
grad-p,0.1,44,7,87.4,48.78
grad-p,0.1,44,8,83.35,36.57
grad-p,0.1,44,9,87.7,46.29
grad-p,0.1,44,10,88.05,33.8
grad-p,0.1,44,11,88.4,38.95
grad-p,0.1,44,12,88.4,41.41
grad-p,0.1,44,13,88.9,42.19
grad-p,0.1,44,14,89.15,40.22
grad-p,0.1,44,15,88.45,25.72
grad-p,0.1,44,16,89.1,26.85
grad-p,0.1,44,17,88.8,23.29
grad-p,0.1,44,18,88.85,23.89
grad-p,0.1,44,19,87.75,8.92
grad-p,0.1,44,20,88.35,17.08
grad-p,0.1,44,21,88.8,22.76
grad-p,0.1,44,22,88.5,19.58
grad-p,0.1,44,23,88.7,22.07
grad-p,0.1,44,24,88.8,23.29
grad-p,0.1,44,25,88.75,22.68
grad-p,0.1,44,26,88.65,20.91
grad-p,0.1,44,27,88.7,21.53
grad-p,0.1,44,28,88.75,22.15
grad-p,0.1,44,29,88.8,22.76
grad-p,0.1,44,30,88.75,22.15
grad-p,0.1,44,31,88.75,22.15
grad-p,0.1,44,32,88.65,20.91
grad-p,0.1,44,33,88.65,20.91
grad-p,0.1,44,34,88.85,23.37
grad-p,0.1,44,35,88.75,22.15
grad-p,0.1,44,36,88.85,23.37
grad-p,0.1,44,37,88.7,21.53
grad-p,0.1,44,38,88.4,17.73
grad-p,0.1,44,39,88.6,20.28
grad-p,0.1,44,40,89.0,25.17
grad-p,0.1,44,41,89.35,29.24
grad-p,0.1,44,42,89.6,32.03
grad-p,0.1,44,43,89.75,33.66
grad-p,0.1,44,44,89.45,30.36
grad-p,0.1,44,45,89.6,32.03
grad-p,0.1,44,46,89.8,34.19
grad-p,0.1,44,47,89.85,34.73
grad-p,0.1,44,48,89.9,35.26
grad-p,0.1,44,49,90.3,39.38
grad-p,0.2,42,0,24.1,25.3
grad-p,0.2,42,1,44.1,31.33
grad-p,0.2,42,2,60.75,32.73
grad-p,0.2,42,3,76.2,29.59
grad-p,0.2,42,4,66.8,29.81
grad-p,0.2,42,5,83.4,16.16
grad-p,0.2,42,6,87.0,0.0
grad-p,0.2,42,7,87.05,1.52
grad-p,0.2,42,8,87.3,2.31
grad-p,0.2,42,9,87.3,2.31
grad-p,0.2,42,10,87.15,0.0
grad-p,0.2,42,11,87.1,0.0
grad-p,0.2,42,12,87.15,0.0
grad-p,0.2,42,13,87.1,0.0
grad-p,0.2,42,14,87.15,0.0
grad-p,0.2,42,15,87.15,0.0
grad-p,0.2,42,16,87.15,0.0
grad-p,0.2,42,17,87.15,0.0
grad-p,0.2,42,18,87.4,3.82
