attack,config,acc,f1
lfp,Full,88.2±1.3,58.8±6.7
lfp,-Outlier,87.9±1.1 (-0.3),57.4±5.9 (-1.5)
lfp,-Trust,88.7±1.6 (+0.5),61.0±8.0 (+2.1)
lfp,-Kappa,92.9±0.7 (+4.7),79.3±2.9 (+20.5)
grad-p,Full,86.9±2.3,50.9±13.2
grad-p,-Outlier,84.0±2.1 (-2.8),33.9±13.5 (-16.9)
grad-p,-Trust,86.2±1.7 (-0.7),47.4±10.2 (-3.4)
grad-p,-Kappa,90.5±1.0 (+3.6),69.3±4.5 (+18.4)
