attack,alpha,round,acc,f1
grad-p,0.1,46,96.45,0.0
grad-p,0.1,47,96.45,0.0
grad-p,0.1,48,96.45,0.0
grad-p,0.1,49,96.45,0.0
grad-p,0.2,0,49.65,9.85
grad-p,0.2,1,57.85,8.47
grad-p,0.2,2,88.65,17.45
grad-p,0.2,3,91.05,20.44
grad-p,0.2,4,84.5,10.4
grad-p,0.2,5,92.55,9.7
grad-p,0.2,6,96.1,2.5
grad-p,0.2,7,96.45,0.0
grad-p,0.2,8,96.45,0.0
grad-p,0.2,9,96.45,0.0
grad-p,0.2,10,96.45,0.0
grad-p,0.2,11,96.45,0.0
grad-p,0.2,12,96.45,0.0
grad-p,0.2,13,96.45,0.0
grad-p,0.2,14,96.45,0.0
grad-p,0.2,15,96.45,0.0
grad-p,0.2,16,96.45,0.0
grad-p,0.2,17,96.45,0.0
grad-p,0.2,18,96.45,0.0
grad-p,0.2,19,96.45,0.0
grad-p,0.2,20,96.45,0.0
grad-p,0.2,21,96.45,0.0
grad-p,0.2,22,96.45,0.0
grad-p,0.2,23,96.45,0.0
grad-p,0.2,24,96.45,0.0
grad-p,0.2,25,96.45,0.0
grad-p,0.2,26,96.45,0.0
grad-p,0.2,27,96.45,0.0
grad-p,0.2,28,96.45,0.0
grad-p,0.2,29,96.45,0.0
grad-p,0.2,30,96.45,0.0
grad-p,0.2,31,96.45,0.0
grad-p,0.2,32,96.45,0.0
grad-p,0.2,33,96.45,0.0
grad-p,0.2,34,96.45,0.0
grad-p,0.2,35,96.45,0.0
grad-p,0.2,36,96.45,0.0
grad-p,0.2,37,96.45,0.0
grad-p,0.2,38,96.45,0.0
grad-p,0.2,39,96.45,0.0
grad-p,0.2,40,96.45,0.0
grad-p,0.2,41,96.45,0.0
grad-p,0.2,42,96.45,0.0
grad-p,0.2,43,96.45,0.0
grad-p,0.2,44,96.45,0.0
grad-p,0.2,45,96.45,0.0
grad-p,0.2,46,96.45,0.0
grad-p,0.2,47,96.45,0.0
grad-p,0.2,48,96.45,0.0
grad-p,0.2,49,96.45,0.0
grad-p,0.5,0,57.85,7.26
grad-p,0.5,1,77.4,8.87
grad-p,0.5,2,78.25,11.76
grad-p,0.5,3,80.9,12.39
grad-p,0.5,4,90.0,18.03
grad-p,0.5,5,94.1,1.67
grad-p,0.5,6,96.0,2.44
grad-p,0.5,7,96.4,0.0
grad-p,0.5,8,96.4,0.0
grad-p,0.5,9,96.45,0.0
grad-p,0.5,10,96.45,0.0
grad-p,0.5,11,96.45,0.0
grad-p,0.5,12,96.45,0.0
grad-p,0.5,13,96.45,0.0
grad-p,0.5,14,96.45,0.0
grad-p,0.5,15,96.45,0.0
grad-p,0.5,16,96.45,0.0
grad-p,0.5,17,96.45,0.0
grad-p,0.5,18,96.45,0.0
grad-p,0.5,19,96.45,0.0
grad-p,0.5,20,96.45,0.0
grad-p,0.5,21,96.45,0.0
grad-p,0.5,22,96.45,0.0
grad-p,0.5,23,96.45,0.0
grad-p,0.5,24,96.45,0.0
grad-p,0.5,25,96.45,0.0
grad-p,0.5,26,96.45,0.0
grad-p,0.5,27,96.45,0.0
grad-p,0.5,28,96.45,0.0
grad-p,0.5,29,96.45,0.0
grad-p,0.5,30,96.45,0.0
grad-p,0.5,31,96.45,0.0
grad-p,0.5,32,96.45,0.0
grad-p,0.5,33,96.45,0.0
grad-p,0.5,34,96.45,0.0
grad-p,0.5,35,96.45,0.0
grad-p,0.5,36,96.45,0.0
grad-p,0.5,37,96.45,0.0
grad-p,0.5,38,96.45,0.0
grad-p,0.5,39,96.45,0.0
grad-p,0.5,40,96.45,0.0
grad-p,0.5,41,96.45,0.0
grad-p,0.5,42,96.45,0.0
grad-p,0.5,43,96.45,0.0
grad-p,0.5,44,96.45,0.0
grad-p,0.5,45,96.45,0.0
grad-p,0.5,46,96.45,0.0
grad-p,0.5,47,96.45,0.0
grad-p,0.5,48,96.45,0.0
grad-p,0.5,49,96.45,0.0
grad-p,1.0,0,62.3,7.6
grad-p,1.0,1,77.1,2.97
grad-p,1.0,2,84.45,7.72
grad-p,1.0,3,67.9,0.93
grad-p,1.0,4,95.65,0.0
grad-p,1.0,5,96.3,0.0
grad-p,1.0,6,96.4,0.0
grad-p,1.0,7,96.4,0.0
grad-p,1.0,8,96.45,0.0
grad-p,1.0,9,96.45,0.0
grad-p,1.0,10,96.45,0.0
grad-p,1.0,11,96.45,0.0
grad-p,1.0,12,96.45,0.0
grad-p,1.0,13,96.45,0.0
grad-p,1.0,14,96.45,0.0
grad-p,1.0,15,96.45,0.0
grad-p,1.0,16,96.45,0.0
grad-p,1.0,17,96.45,0.0
grad-p,1.0,18,96.45,0.0
grad-p,1.0,19,96.45,0.0
grad-p,1.0,20,96.45,0.0
grad-p,1.0,21,96.45,0.0
grad-p,1.0,22,96.45,0.0
grad-p,1.0,23,96.45,0.0
grad-p,1.0,24,96.45,0.0
grad-p,1.0,25,96.45,0.0
grad-p,1.0,26,96.45,0.0
grad-p,1.0,27,96.45,0.0
grad-p,1.0,28,96.45,0.0
grad-p,1.0,29,96.45,0.0
grad-p,1.0,30,96.45,0.0
grad-p,1.0,31,96.45,0.0
grad-p,1.0,32,96.45,0.0
grad-p,1.0,33,96.45,0.0
grad-p,1.0,34,96.45,0.0
grad-p,1.0,35,96.45,0.0
grad-p,1.0,36,96.45,0.0
grad-p,1.0,37,96.45,0.0
grad-p,1.0,38,96.45,0.0
grad-p,1.0,39,96.45,0.0
grad-p,1.0,40,96.45,0.0
grad-p,1.0,41,96.45,0.0
grad-p,1.0,42,96.45,0.0
grad-p,1.0,43,96.45,0.0
grad-p,1.0,44,96.45,0.0
grad-p,1.0,45,96.45,0.0
grad-p,1.0,46,96.45,0.0
grad-p,1.0,47,96.45,0.0
grad-p,1.0,48,96.45,0.0
grad-p,1.0,49,96.45,0.0
spf,0.01,0,62.25,7.13
spf,0.01,1,78.9,8.66
spf,0.01,2,82.35,10.18
spf,0.01,3,86.6,11.84
spf,0.01,4,90.15,2.96
spf,0.01,5,94.75,0.0
spf,0.01,6,96.4,0.0
spf,0.01,7,96.45,0.0
spf,0.01,8,96.45,0.0
spf,0.01,9,96.45,0.0
spf,0.01,10,96.45,0.0
spf,0.01,11,96.45,0.0
spf,0.01,12,96.45,0.0
spf,0.01,13,96.45,0.0
spf,0.01,14,96.45,0.0
spf,0.01,15,96.45,0.0
