attack,alpha,round,acc,f1
grad-p,0.2,33,97.9,0.0
grad-p,0.2,34,97.9,0.0
grad-p,0.2,35,97.9,0.0
grad-p,0.2,36,97.9,0.0
grad-p,0.2,37,97.9,0.0
grad-p,0.2,38,97.9,0.0
grad-p,0.2,39,97.9,0.0
grad-p,0.2,40,97.9,0.0
grad-p,0.2,41,97.9,0.0
grad-p,0.2,42,97.9,0.0
grad-p,0.2,43,97.9,0.0
grad-p,0.2,44,97.9,0.0
grad-p,0.2,45,97.9,0.0
grad-p,0.2,46,97.9,0.0
grad-p,0.2,47,97.9,0.0
grad-p,0.2,48,97.9,0.0
grad-p,0.2,49,97.9,0.0
grad-p,0.5,0,22.85,4.46
grad-p,0.5,1,50.05,7.07
grad-p,0.5,2,57.4,8.39
grad-p,0.5,3,85.0,15.25
grad-p,0.5,4,77.8,7.5
grad-p,0.5,5,86.7,9.52
grad-p,0.5,6,97.1,17.14
grad-p,0.5,7,97.75,0.0
grad-p,0.5,8,97.85,0.0
grad-p,0.5,9,97.9,4.55
grad-p,0.5,10,98.0,16.67
grad-p,0.5,11,98.1,17.39
grad-p,0.5,12,97.95,4.65
grad-p,0.5,13,97.9,0.0
grad-p,0.5,14,97.9,0.0
grad-p,0.5,15,97.9,0.0
grad-p,0.5,16,97.9,0.0
grad-p,0.5,17,97.9,0.0
grad-p,0.5,18,97.9,0.0
grad-p,0.5,19,97.9,0.0
grad-p,0.5,20,97.9,0.0
grad-p,0.5,21,97.9,0.0
grad-p,0.5,22,97.9,0.0
grad-p,0.5,23,97.9,0.0
grad-p,0.5,24,97.9,0.0
grad-p,0.5,25,97.9,0.0
grad-p,0.5,26,97.9,0.0
grad-p,0.5,27,97.9,0.0
grad-p,0.5,28,97.9,0.0
grad-p,0.5,29,97.9,0.0
grad-p,0.5,30,97.9,0.0
grad-p,0.5,31,97.9,0.0
grad-p,0.5,32,97.9,0.0
grad-p,0.5,33,97.9,0.0
grad-p,0.5,34,97.9,0.0
grad-p,0.5,35,97.9,0.0
grad-p,0.5,36,97.9,0.0
grad-p,0.5,37,97.9,0.0
grad-p,0.5,38,97.9,0.0
grad-p,0.5,39,97.9,0.0
grad-p,0.5,40,97.9,0.0
grad-p,0.5,41,97.95,4.65
grad-p,0.5,42,98.1,17.39
grad-p,0.5,43,98.2,25.0
grad-p,0.5,44,98.2,25.0
grad-p,0.5,45,98.2,25.0
grad-p,0.5,46,98.2,25.0
grad-p,0.5,47,98.2,25.0
grad-p,0.5,48,98.2,25.0
grad-p,0.5,49,98.25,28.57
grad-p,1.0,0,40.3,4.02
grad-p,1.0,1,49.05,5.21
grad-p,1.0,2,73.9,8.74
grad-p,1.0,3,87.7,11.51
grad-p,1.0,4,77.45,11.39
grad-p,1.0,5,84.05,12.6
grad-p,1.0,6,89.9,19.2
grad-p,1.0,7,98.05,50.63
grad-p,1.0,8,98.15,53.16
grad-p,1.0,9,98.65,60.87
grad-p,1.0,10,98.65,54.24
grad-p,1.0,11,98.75,59.02
grad-p,1.0,12,98.65,54.24
grad-p,1.0,13,98.75,59.02
grad-p,1.0,14,98.5,46.43
grad-p,1.0,15,98.6,53.33
grad-p,1.0,16,98.6,53.33
grad-p,1.0,17,98.55,50.85
grad-p,1.0,18,98.6,51.72
grad-p,1.0,19,98.35,35.29
grad-p,1.0,20,98.4,38.46
grad-p,1.0,21,98.4,38.46
grad-p,1.0,22,98.4,38.46
grad-p,1.0,23,98.45,41.51
grad-p,1.0,24,98.3,32.0
grad-p,1.0,25,98.3,32.0
grad-p,1.0,26,98.35,35.29
grad-p,1.0,27,98.4,38.46
grad-p,1.0,28,98.3,32.0
grad-p,1.0,29,98.3,32.0
grad-p,1.0,30,98.4,38.46
grad-p,1.0,31,98.4,38.46
grad-p,1.0,32,98.4,38.46
grad-p,1.0,33,98.4,38.46
grad-p,1.0,34,98.4,38.46
grad-p,1.0,35,98.45,41.51
grad-p,1.0,36,98.45,41.51
grad-p,1.0,37,98.45,41.51
grad-p,1.0,38,98.5,44.44
grad-p,1.0,39,98.45,41.51
grad-p,1.0,40,98.6,50.0
