method,seed,round,acc,f1
Multi-Krum,42,24,96.45,0.0
Multi-Krum,42,25,96.45,0.0
Multi-Krum,42,26,96.45,0.0
Multi-Krum,42,27,96.45,0.0
Multi-Krum,42,28,96.45,0.0
Multi-Krum,42,29,96.45,0.0
Multi-Krum,42,30,96.45,0.0
Multi-Krum,42,31,96.45,0.0
Multi-Krum,42,32,96.45,0.0
Multi-Krum,42,33,96.45,0.0
Multi-Krum,42,34,96.45,0.0
Multi-Krum,42,35,96.45,0.0
Multi-Krum,42,36,96.45,0.0
Multi-Krum,42,37,96.45,0.0
Multi-Krum,42,38,96.45,0.0
Multi-Krum,42,39,96.45,0.0
Multi-Krum,42,40,96.45,0.0
Multi-Krum,42,41,96.45,0.0
Multi-Krum,42,42,96.45,0.0
Multi-Krum,42,43,96.45,0.0
Multi-Krum,42,44,96.45,0.0
Multi-Krum,42,45,96.45,0.0
Multi-Krum,42,46,96.45,0.0
Multi-Krum,42,47,96.45,0.0
Multi-Krum,42,48,96.45,0.0
Multi-Krum,42,49,96.45,0.0
Multi-Krum,43,0,94.25,0.0
Multi-Krum,43,1,96.35,0.0
Multi-Krum,43,2,96.4,0.0
Multi-Krum,43,3,96.45,0.0
Multi-Krum,43,4,96.45,0.0
Multi-Krum,43,5,96.45,0.0
Multi-Krum,43,6,96.45,0.0
Multi-Krum,43,7,96.45,0.0
Multi-Krum,43,8,96.45,0.0
Multi-Krum,43,9,96.45,0.0
Multi-Krum,43,10,96.45,0.0
Multi-Krum,43,11,96.45,0.0
Multi-Krum,43,12,96.45,0.0
Multi-Krum,43,13,96.45,0.0
Multi-Krum,43,14,96.45,0.0
Multi-Krum,43,15,96.45,0.0
Multi-Krum,43,16,96.45,0.0
Multi-Krum,43,17,96.45,0.0
Multi-Krum,43,18,96.45,0.0
Multi-Krum,43,19,96.45,0.0
Multi-Krum,43,20,96.45,0.0
Multi-Krum,43,21,96.45,0.0
Multi-Krum,43,22,96.45,0.0
Multi-Krum,43,23,96.45,0.0
Multi-Krum,43,24,96.45,0.0
Multi-Krum,43,25,96.45,0.0
Multi-Krum,43,26,96.45,0.0
Multi-Krum,43,27,96.45,0.0
Multi-Krum,43,28,96.45,0.0
Multi-Krum,43,29,96.45,0.0
Multi-Krum,43,30,96.45,0.0
Multi-Krum,43,31,96.45,0.0
Multi-Krum,43,32,96.45,0.0
Multi-Krum,43,33,96.45,0.0
Multi-Krum,43,34,96.45,0.0
Multi-Krum,43,35,96.45,0.0
Multi-Krum,43,36,96.45,0.0
Multi-Krum,43,37,96.45,0.0
Multi-Krum,43,38,96.45,0.0
Multi-Krum,43,39,96.45,0.0
Multi-Krum,43,40,96.45,0.0
Multi-Krum,43,41,96.45,0.0
Multi-Krum,43,42,96.45,0.0
Multi-Krum,43,43,96.45,0.0
Multi-Krum,43,44,96.45,0.0
Multi-Krum,43,45,96.45,0.0
Multi-Krum,43,46,96.45,0.0
Multi-Krum,43,47,96.45,0.0
Multi-Krum,43,48,96.45,0.0
Multi-Krum,43,49,96.45,0.0
Multi-Krum,44,0,18.5,3.09
Multi-Krum,44,1,32.95,3.04
Multi-Krum,44,2,50.15,2.16
Multi-Krum,44,3,59.0,2.15
Multi-Krum,44,4,69.25,1.6
Multi-Krum,44,5,83.05,1.17
Multi-Krum,44,6,92.35,2.55
Multi-Krum,44,7,94.45,1.77
Multi-Krum,44,8,95.1,0.0
Multi-Krum,44,9,95.45,0.0
Multi-Krum,44,10,95.8,0.0
Multi-Krum,44,11,96.2,0.0
Multi-Krum,44,12,96.4,0.0
Multi-Krum,44,13,96.45,0.0
Multi-Krum,44,14,96.45,0.0
Multi-Krum,44,15,96.45,0.0
Multi-Krum,44,16,96.45,0.0
Multi-Krum,44,17,96.45,0.0
Multi-Krum,44,18,96.45,0.0
Multi-Krum,44,19,96.45,0.0
Multi-Krum,44,20,96.45,0.0
Multi-Krum,44,21,96.45,0.0
Multi-Krum,44,22,96.45,0.0
Multi-Krum,44,23,96.45,0.0
Multi-Krum,44,24,96.45,0.0
Multi-Krum,44,25,96.45,0.0
Multi-Krum,44,26,96.45,0.0
Multi-Krum,44,27,96.45,0.0
Multi-Krum,44,28,96.45,0.0
Multi-Krum,44,29,96.45,0.0
Multi-Krum,44,30,96.45,0.0
Multi-Krum,44,31,96.45,0.0
Multi-Krum,44,32,96.45,0.0
Multi-Krum,44,33,96.45,0.0
Multi-Krum,44,34,96.45,0.0
Multi-Krum,44,35,96.45,0.0
Multi-Krum,44,36,96.45,0.0
Multi-Krum,44,37,96.45,0.0
Multi-Krum,44,38,96.45,0.0
Multi-Krum,44,39,96.45,0.0
Multi-Krum,44,40,96.45,0.0
Multi-Krum,44,41,96.45,0.0
Multi-Krum,44,42,96.45,0.0
Multi-Krum,44,43,96.45,0.0
Multi-Krum,44,44,96.45,0.0
Multi-Krum,44,45,96.45,0.0
Multi-Krum,44,46,96.45,0.0
Multi-Krum,44,47,96.45,0.0
Multi-Krum,44,48,96.45,0.0
Multi-Krum,44,49,96.45,0.0
TrimmedMean,42,0,71.9,9.06
TrimmedMean,42,1,83.1,11.52
TrimmedMean,42,2,87.3,13.61
TrimmedMean,42,3,91.55,5.59
TrimmedMean,42,4,94.65,0.0
TrimmedMean,42,5,95.7,0.0
TrimmedMean,42,6,96.3,0.0
TrimmedMean,42,7,96.45,0.0
TrimmedMean,42,8,96.45,0.0
TrimmedMean,42,9,96.45,0.0
TrimmedMean,42,10,96.45,0.0
TrimmedMean,42,11,96.45,0.0
TrimmedMean,42,12,96.45,0.0
TrimmedMean,42,13,96.45,0.0
TrimmedMean,42,14,96.45,0.0
TrimmedMean,42,15,96.45,0.0
TrimmedMean,42,16,96.45,0.0
TrimmedMean,42,17,96.45,0.0
TrimmedMean,42,18,96.45,0.0
TrimmedMean,42,19,96.45,0.0
TrimmedMean,42,20,96.45,0.0
