attack,config,acc,f1
lfp,Full,98.2±0.7,94.8±2.1
lfp,-Outlier,98.2±0.4 (-0.0),94.7±1.3 (-0.1)
lfp,-Trust,98.2±0.6 (+0.0),94.9±1.9 (+0.1)
lfp,-Kappa,98.7±0.3 (+0.5),96.3±0.8 (+1.5)
grad-p,Full,97.1±1.0,91.2±3.3
grad-p,-Outlier,95.3±0.9 (-1.8),84.9±3.5 (-6.3)
grad-p,-Trust,96.3±1.3 (-0.8),88.4±4.4 (-2.7)
grad-p,-Kappa,97.0±0.9 (-0.1),90.8±3.0 (-0.3)
