method,final_acc,round@90%,round@85%,auc
FedAvg,96.5±0.0,2.0±1.6,2.0±1.6,94.6±1.9
TrimmedMean,96.5±0.0,2.0±1.6,2.0±1.6,94.6±1.9
RFVIR,96.5±0.0,2.3±2.1,2.3±2.1,94.3±2.2
Multi-Krum,96.5±0.0,3.0±2.4,3.0±2.4,94.1±2.3
Bulyan,96.5±0.0,3.3±2.9,3.0±2.9,93.7±2.9
FLAME,96.5±0.0,2.0±1.6,1.7±1.7,94.7±1.8
Ours,96.5±0.0,2.0±1.6,2.0±1.6,94.6±1.9
