method,round,acc,f1
Bulyan,11,96.45,0.0
Bulyan,12,96.45,0.0
Bulyan,13,96.45,0.0
Bulyan,14,96.45,0.0
Bulyan,15,96.45,0.0
Bulyan,16,96.45,0.0
Bulyan,17,96.45,0.0
Bulyan,18,96.45,0.0
Bulyan,19,96.45,0.0
Bulyan,20,96.45,0.0
Bulyan,21,96.45,0.0
Bulyan,22,96.45,0.0
Bulyan,23,96.45,0.0
Bulyan,24,96.45,0.0
Bulyan,25,96.45,0.0
Bulyan,26,96.45,0.0
Bulyan,27,96.45,0.0
Bulyan,28,96.45,0.0
Bulyan,29,96.45,0.0
Bulyan,30,96.45,0.0
Bulyan,31,96.45,0.0
Bulyan,32,96.45,0.0
Bulyan,33,96.45,0.0
Bulyan,34,96.45,0.0
Bulyan,35,96.45,0.0
Bulyan,36,96.45,0.0
Bulyan,37,96.45,0.0
Bulyan,38,96.45,0.0
Bulyan,39,96.45,0.0
Bulyan,40,96.45,0.0
Bulyan,41,96.45,0.0
Bulyan,42,96.45,0.0
Bulyan,43,96.45,0.0
Bulyan,44,96.45,0.0
Bulyan,45,96.45,0.0
Bulyan,46,96.45,0.0
Bulyan,47,96.45,0.0
Bulyan,48,96.45,0.0
Bulyan,49,96.45,0.0
RFVIR,0,71.25,8.87
RFVIR,1,82.4,11.11
RFVIR,2,87.2,13.51
RFVIR,3,91.65,3.47
RFVIR,4,94.6,0.0
RFVIR,5,95.7,0.0
RFVIR,6,96.3,0.0
RFVIR,7,96.45,0.0
RFVIR,8,96.45,0.0
RFVIR,9,96.45,0.0
RFVIR,10,96.45,0.0
RFVIR,11,96.45,0.0
RFVIR,12,96.45,0.0
RFVIR,13,96.45,0.0
RFVIR,14,96.45,0.0
RFVIR,15,96.45,0.0
RFVIR,16,96.45,0.0
RFVIR,17,96.45,0.0
RFVIR,18,96.45,0.0
RFVIR,19,96.45,0.0
RFVIR,20,96.45,0.0
RFVIR,21,96.45,0.0
RFVIR,22,96.45,0.0
RFVIR,23,96.45,0.0
RFVIR,24,96.45,0.0
RFVIR,25,96.45,0.0
RFVIR,26,96.45,0.0
RFVIR,27,96.45,0.0
RFVIR,28,96.45,0.0
RFVIR,29,96.45,0.0
RFVIR,30,96.45,0.0
RFVIR,31,96.45,0.0
RFVIR,32,96.45,0.0
RFVIR,33,96.45,0.0
RFVIR,34,96.45,0.0
RFVIR,35,96.45,0.0
RFVIR,36,96.45,0.0
RFVIR,37,96.45,0.0
RFVIR,38,96.45,0.0
RFVIR,39,96.45,0.0
RFVIR,40,96.45,0.0
RFVIR,41,96.45,0.0
RFVIR,42,96.45,0.0
RFVIR,43,96.45,0.0
RFVIR,44,96.45,0.0
RFVIR,45,96.45,0.0
RFVIR,46,96.45,0.0
RFVIR,47,96.45,0.0
RFVIR,48,96.45,0.0
RFVIR,49,96.45,0.0
FLAME,0,74.55,8.62
FLAME,1,85.35,12.01
FLAME,2,89.75,5.53
FLAME,3,93.7,0.0
FLAME,4,95.1,0.0
FLAME,5,96.1,0.0
FLAME,6,96.4,0.0
FLAME,7,96.45,0.0
FLAME,8,96.45,0.0
FLAME,9,96.45,0.0
FLAME,10,96.45,0.0
FLAME,11,96.45,0.0
FLAME,12,96.45,0.0
FLAME,13,96.45,0.0
FLAME,14,96.45,0.0
FLAME,15,96.45,0.0
FLAME,16,96.45,0.0
FLAME,17,96.45,0.0
FLAME,18,96.45,0.0
FLAME,19,96.45,0.0
