attack,alpha,round,acc,f1
ooa,0.1,36,91.5,0.0
ooa,0.1,37,91.5,0.0
ooa,0.1,38,91.5,0.0
ooa,0.1,39,91.5,0.0
ooa,0.1,40,91.5,0.0
ooa,0.1,41,91.5,0.0
ooa,0.1,42,91.5,0.0
ooa,0.1,43,91.5,0.0
ooa,0.1,44,91.5,0.0
ooa,0.1,45,91.5,0.0
ooa,0.1,46,91.5,0.0
ooa,0.1,47,91.5,0.0
ooa,0.1,48,91.5,0.0
ooa,0.1,49,91.5,0.0
ooa,0.2,0,37.65,18.97
ooa,0.2,1,49.0,22.14
ooa,0.2,2,68.8,30.2
ooa,0.2,3,80.8,38.66
ooa,0.2,4,87.95,45.84
ooa,0.2,5,92.8,51.68
ooa,0.2,6,93.3,46.83
ooa,0.2,7,93.5,43.48
ooa,0.2,8,93.05,32.85
ooa,0.2,9,92.5,22.68
ooa,0.2,10,92.15,15.14
ooa,0.2,11,92.0,11.11
ooa,0.2,12,91.85,7.91
ooa,0.2,13,91.85,7.91
ooa,0.2,14,91.75,5.71
ooa,0.2,15,91.75,5.71
ooa,0.2,16,91.75,5.71
ooa,0.2,17,91.75,5.71
ooa,0.2,18,91.75,5.71
ooa,0.2,19,91.8,6.82
ooa,0.2,20,91.75,5.71
ooa,0.2,21,91.7,4.6
ooa,0.2,22,91.7,4.6
ooa,0.2,23,91.7,4.6
ooa,0.2,24,91.7,4.6
ooa,0.2,25,91.7,4.6
ooa,0.2,26,91.7,4.6
ooa,0.2,27,91.8,6.82
ooa,0.2,28,91.8,6.82
ooa,0.2,29,91.8,6.82
ooa,0.2,30,91.85,7.91
ooa,0.2,31,91.85,7.91
ooa,0.2,32,91.85,7.91
ooa,0.2,33,91.85,7.91
ooa,0.2,34,91.85,7.91
ooa,0.2,35,91.9,8.99
ooa,0.2,36,91.9,8.99
ooa,0.2,37,91.9,8.99
ooa,0.2,38,91.9,8.99
ooa,0.2,39,91.9,8.99
ooa,0.2,40,92.35,18.18
ooa,0.2,41,92.35,18.18
ooa,0.2,42,92.35,18.18
ooa,0.2,43,92.25,16.22
ooa,0.2,44,92.35,18.18
ooa,0.2,45,92.35,18.18
ooa,0.2,46,92.35,18.18
ooa,0.2,47,92.35,18.18
ooa,0.2,48,92.35,18.18
ooa,0.2,49,92.4,19.15
ooa,0.5,0,41.0,19.18
ooa,0.5,1,60.95,25.69
ooa,0.5,2,80.4,36.57
ooa,0.5,3,90.15,47.18
ooa,0.5,4,92.65,49.13
ooa,0.5,5,93.3,41.74
ooa,0.5,6,92.9,31.07
ooa,0.5,7,92.55,23.59
ooa,0.5,8,92.75,27.14
ooa,0.5,9,92.7,25.51
ooa,0.5,10,92.55,21.99
ooa,0.5,11,92.45,20.11
ooa,0.5,12,92.35,18.18
ooa,0.5,13,92.4,19.15
ooa,0.5,14,92.45,20.11
ooa,0.5,15,92.5,21.05
ooa,0.5,16,92.5,21.05
ooa,0.5,17,92.6,22.92
ooa,0.5,18,92.9,28.28
ooa,0.5,19,92.9,28.28
ooa,0.5,20,93.25,34.15
ooa,0.5,21,93.3,34.95
ooa,0.5,22,93.5,38.1
ooa,0.5,23,93.5,38.1
ooa,0.5,24,93.7,41.12
ooa,0.5,25,93.75,41.86
ooa,0.5,26,93.85,43.32
ooa,0.5,27,93.95,44.75
ooa,0.5,28,94.1,46.85
ooa,0.5,29,94.2,48.21
ooa,0.5,30,94.45,51.53
ooa,0.5,31,94.75,55.32
ooa,0.5,32,94.85,56.54
ooa,0.5,33,95.0,58.33
ooa,0.5,34,95.0,58.33
ooa,0.5,35,95.05,58.92
ooa,0.5,36,95.1,59.5
ooa,0.5,37,95.15,60.08
ooa,0.5,38,95.05,58.92
ooa,0.5,39,95.15,60.08
ooa,0.5,40,95.2,60.66
ooa,0.5,41,95.35,62.35
ooa,0.5,42,95.45,63.45
ooa,0.5,43,95.45,63.45
ooa,0.5,44,95.45,63.45
ooa,0.5,45,95.45,63.45
ooa,0.5,46,95.45,63.45
ooa,0.5,47,95.5,64.0
ooa,0.5,48,95.65,65.61
ooa,0.5,49,95.65,65.61
ooa,1.0,0,43.0,20.17
ooa,1.0,1,67.2,29.0
ooa,1.0,2,81.5,40.89
ooa,1.0,3,89.95,52.26
ooa,1.0,4,92.9,57.49
ooa,1.0,5,93.9,57.04
ooa,1.0,6,94.2,57.35
ooa,1.0,7,94.4,55.56
ooa,1.0,8,94.4,54.47
ooa,1.0,9,94.3,52.1
ooa,1.0,10,94.6,55.74
ooa,1.0,11,94.85,58.63
ooa,1.0,12,94.75,57.49
ooa,1.0,13,94.95,59.76
ooa,1.0,14,95.05,60.87
ooa,1.0,15,95.35,63.24
ooa,1.0,16,95.55,65.37
ooa,1.0,17,95.6,65.89
ooa,1.0,18,95.7,66.67
ooa,1.0,19,95.8,67.69
ooa,1.0,20,95.75,67.18
ooa,1.0,21,95.75,67.18
ooa,1.0,22,95.75,67.18
ooa,1.0,23,95.8,67.44
ooa,1.0,24,95.85,68.2
ooa,1.0,25,96.1,70.68
ooa,1.0,26,96.2,71.64
ooa,1.0,27,96.2,71.64
ooa,1.0,28,96.2,71.64
ooa,1.0,29,96.3,72.59
ooa,1.0,30,96.3,72.59
ooa,1.0,31,96.3,72.59
ooa,1.0,32,96.3,72.59
ooa,1.0,33,96.45,73.99
ooa,1.0,34,96.55,74.91
ooa,1.0,35,96.8,77.14
ooa,1.0,36,96.8,77.14
ooa,1.0,37,96.85,77.58
ooa,1.0,38,96.85,77.74
ooa,1.0,39,96.9,78.01
ooa,1.0,40,97.05,79.3
ooa,1.0,41,97.1,79.72
ooa,1.0,42,97.2,80.69
ooa,1.0,43,97.25,81.1
ooa,1.0,44,97.3,81.51
ooa,1.0,45,97.3,81.51
ooa,1.0,46,97.3,81.51
ooa,1.0,47,97.45,82.71
ooa,1.0,48,97.5,83.22
ooa,1.0,49,97.45,82.94
