method,final_acc,round@90%,round@85%,auc
FedAvg,90.8±0.1,4.7±3.3,6.0±3.7,87.4±2.4
TrimmedMean,90.8±0.1,5.0±3.7,6.0±3.7,87.4±2.5
RFVIR,90.6±0.2,9.3±9.7,11.0±10.7,84.4±6.4
Multi-Krum,90.4±0.2,7.0±6.7,8.0±7.3,86.1±3.6
Bulyan,90.4±0.0,5.7±4.1,7.3±4.2,86.7±2.8
FLAME,90.7±0.2,3.7±2.9,4.7±2.9,87.8±1.9
Ours,90.5±0.1,4.7±3.3,5.7±3.3,87.2±2.2
