method,final_acc,round@90%,round@85%,auc
FedAvg,96.5,2,2,95.3
TrimmedMean,96.5,2,2,95.4
RFVIR,96.5,2,2,95.3
Multi-Krum,96.5,3,3,94.9
Bulyan,96.5,3,2,95.1
FLAME,96.5,2,1,95.6
Ours,96.5,2,2,95.3
