method,final_acc,round@90%,round@85%,auc
FedAvg,90.7,4,5,88.2
TrimmedMean,90.7,4,5,88.2
RFVIR,90.5,4,5,87.6
Multi-Krum,90.5,5,5,87.3
Bulyan,90.5,5,6,87.3
FLAME,90.7,4,5,87.9
Ours,90.3,4,5,88.0
