Attack,Outlier P,Outlier R,Outlier F1,Trust P,Trust R,Trust F1,Kappa P,Kappa R,Kappa F1,Combined P,Combined R,Combined F1,Kappa unique TP,Trust unique TP,Outlier unique TP
grad-p,100.0,42.5,59.6,100.0,27.5,43.1,70.4,47.5,56.7,78.4,72.5,75.3,10,1,3
spf,30.8,10.0,15.1,16.7,7.5,10.3,20.2,85.0,32.7,20.2,87.5,32.9,29,0,1
lfp,9.1,2.5,3.9,0.0,0.0,0.0,0.0,0.0,0.0,8.3,2.5,3.8,0,0,1
ooa,7.1,2.5,3.7,0.0,0.0,0.0,0.0,0.0,0.0,7.1,2.5,3.7,0,0,1
