δ,Accuracy (%),Acc_std,F1 (%),F1_std
0.1,93.0,1.4,39.7,29.1
0.15,93.0,1.4,39.7,29.1
0.2,93.0,1.4,39.7,29.1
0.25,93.0,1.4,39.7,29.1
0.3,93.0,1.4,39.7,29.1
