Variant,Attack,Outlier latency,Trust latency,Kappa latency,Combined latency,Burn-in FPR (%),Final Acc (%)
A,"Sleeper (delayed activation, T_burn=20)",Never,Never,Never,Never,24.1,90.4
B,Mimicry (gradient-constrained poisoning),Never,Never,Never,Never,7.0,90.7
C,Slow drift (ramp 5%/round to 40% flip),Never,Never,1,1,48.1,68.9
