τ,Accuracy (%),Acc_std,F1 (%),F1_std
1.0,88.7,0.6,25.4,8.2
1.5,88.6,0.5,23.7,8.5
2.0,88.7,0.7,23.5,8.6
2.5,88.7,0.8,23.4,8.6
3.0,88.7,0.8,23.2,8.0
