Method,grad-p,grad-p_f1,spf,spf_f1,lfp,lfp_f1,ooa,ooa_f1,No Attack
FedAvg,88.8,0.0,90.8,30.9,90.5,28.0,90.7,28.9,88.0
Multi-Krum,90.5,25.7,90.5,26.4,90.5,28.1,90.2,22.2,88.0
TrimmedMean,90.5,25.7,90.7,28.4,90.7,31.1,90.7,29.0,88.0
Bulyan,90.8,31.7,90.5,26.2,90.7,32.6,90.3,25.9,88.0
RFVIR,55.0,19.5,90.5,25.7,90.7,28.4,90.3,24.3,88.0
FLAME,90.7,29.0,91.0,33.7,90.8,29.7,90.7,36.7,88.0
Ours,90.7,29.6,90.2,40.7,88.5,45.2,90.8,29.7,88.0
