α,Accuracy (%),Acc_std,F1 (%),F1_std
0.5,88.7,0.7,23.5,8.6
0.6,88.7,0.7,23.5,8.6
0.7,88.7,0.7,23.5,8.6
0.8,88.7,0.7,23.5,8.6
0.9,88.7,0.7,23.5,8.6
