δ,Accuracy (%),Acc_std,F1 (%),F1_std
0.1,88.7,0.7,23.5,8.6
0.15,88.7,0.7,23.5,8.6
0.2,88.7,0.7,23.5,8.6
0.25,88.7,0.7,23.5,8.6
0.3,88.7,0.7,23.5,8.6
