Attack,Byz κ (mean),Ben κ (mean),κ gap,Byz shift (mean),Ben shift (mean),Byz grad dist,Ben grad dist,Grad dist gap,Kappa-only det (%)
grad-p,0.02,0.174,0.154,0.367,0.203,4124.932,8.797,4116.135,7.5
spf,0.217,0.217,0.0,0.21,0.211,10.167,8.335,1.832,0.0
lfp,0.265,0.26,-0.005,0.186,0.209,9.231,8.49,0.741,0.0
ooa,0.307,0.267,-0.04,0.139,0.212,9.476,8.461,1.015,0.0
