Variant,Attack,Outlier latency,Trust latency,Kappa latency,Combined latency,Burn-in FPR (%),Final Acc (%)
A,"Sleeper (delayed activation, T_burn=20)",Never,Never,Never,Never,6.9,65.1
B,Mimicry (gradient-constrained poisoning),Never,Never,Never,Never,29.5,90.2
C,Slow drift (ramp 5%/round to 40% flip),Never,Never,Never,Never,7.9,67.1
