Variant,Attack,Outlier latency,Trust latency,Kappa latency,Combined latency,Burn-in FPR (%),Final Acc (%)
A,"Sleeper (delayed activation, T_burn=20)",Never,0,0,0,100.0,96.3
B,Mimicry (gradient-constrained poisoning),Never,0,0,0,100.0,96.6
C,Slow drift (ramp 5%/round to 40% flip),Never,0,0,0,100.0,96.4
