τ,Accuracy (%),Acc_std,F1 (%),F1_std
1.0,95.3,1.5,5.1,10.1
1.5,93.7,3.3,11.4,14.0
2.0,93.2,4.1,11.1,13.6
2.5,93.2,4.2,11.2,13.8
3.0,93.2,4.2,11.2,13.8
