α,Accuracy (%),Acc_std,F1 (%),F1_std
0.5,93.2,4.1,11.1,13.6
0.6,93.2,4.1,11.1,13.6
0.7,93.2,4.1,11.1,13.6
0.8,93.2,4.1,11.1,13.6
0.9,93.2,4.1,11.1,13.6
