Variant,Attack,Outlier latency,Trust latency,Kappa latency,Combined latency,Burn-in FPR (%),Final Acc (%)
A,"Sleeper (delayed activation, T_burn=20)",Never,0,0,0,88.3,80.4
B,Mimicry (gradient-constrained poisoning),Never,Never,Never,Never,53.1,79.4
C,Slow drift (ramp 5%/round to 40% flip),Never,1,0,0,79.2,83.8
