Variant,Attack,Outlier latency,Trust latency,Kappa latency,Combined latency,Burn-in FPR (%),Final Acc (%)
A,"Sleeper (delayed activation, T_burn=20)",Never,33,2,0,16.1,96.4
B,Mimicry (gradient-constrained poisoning),Never,Never,Never,Never,0.3,63.0
C,Slow drift (ramp 5%/round to 40% flip),Never,34,4,4,14.2,96.4
