δ,Accuracy (%),Acc_std,F1 (%),F1_std
0.1,93.3,4.1,10.7,13.2
0.15,93.0,4.2,10.9,13.4
0.2,93.2,4.1,11.1,13.6
0.25,93.3,4.1,11.2,13.7
0.3,93.3,4.1,11.2,13.8
