Method,grad-p,grad-p_f1,spf,spf_f1,lfp,lfp_f1,ooa,ooa_f1,No Attack
FedAvg,96.5,0.0,96.5,0.0,96.5,0.0,96.5,0.0,76.5
Multi-Krum,96.5,0.0,96.5,0.0,96.5,0.0,96.5,0.0,76.5
TrimmedMean,96.5,0.0,96.5,0.0,96.5,0.0,96.5,0.0,76.5
Bulyan,96.5,0.0,96.5,0.0,96.5,0.0,96.5,0.0,76.5
RFVIR,96.5,0.0,96.5,0.0,96.5,0.0,96.5,0.0,76.5
FLAME,96.5,0.0,96.5,0.0,96.5,0.0,96.5,0.0,76.5
Ours,95.4,19.3,73.2,20.5,96.5,0.0,96.5,0.0,76.5
