Attack,Byz κ (mean),Ben κ (mean),κ gap,Byz shift (mean),Ben shift (mean),Byz grad dist,Ben grad dist,Grad dist gap,Kappa-only det (%)
grad-p,0.1,0.538,0.438,0.548,0.115,2665.157,5.172,2659.985,7.5
spf,0.575,0.59,0.015,0.056,0.112,5.687,4.928,0.759,30.0
lfp,0.125,0.577,0.452,0.111,0.108,6.935,5.098,1.837,32.5
ooa,0.5,0.545,0.045,0.044,0.108,4.904,5.207,-0.304,25.0
