Attack,Outlier P,Outlier R,Outlier F1,Trust P,Trust R,Trust F1,Kappa P,Kappa R,Kappa F1,Combined P,Combined R,Combined F1,Kappa unique TP,Trust unique TP,Outlier unique TP
grad-p,100.0,52.5,68.9,23.6,62.5,34.2,24.2,97.5,38.8,24.7,100.0,39.6,9,1,0
spf,50.0,2.5,4.8,16.7,32.5,22.0,19.0,65.0,29.4,18.8,65.0,29.2,12,0,0
lfp,0.0,0.0,0.0,0.0,0.0,0.0,4.8,12.5,6.9,4.8,12.5,6.9,5,0,0
ooa,0.0,0.0,0.0,18.2,35.0,23.9,19.9,72.5,31.2,19.7,72.5,31.0,15,0,0
